"","filename","sentence","index","date","title","publication","filepath"
"1","moleytext_extracted_1.txt","User Name: =",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"2","moleytext_extracted_1.txt","Date and Time: = 2024-11-04",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"3","moleytext_extracted_1.txt","Job Number: = 237727801",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"4","moleytext_extracted_1.txt","",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"5","moleytext_extracted_1.txt","",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"6","moleytext_extracted_1.txt","",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"7","moleytext_extracted_1.txt","Documents (32)",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"8","moleytext_extracted_1.txt","",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"9","moleytext_extracted_1.txt","  Client/Matter: -None-",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"10","moleytext_extracted_1.txt","  Search Terms: atleast3(Moley) and ""Raymond Moley""",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"11","moleytext_extracted_1.txt","  Search Type: Boolean",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"12","moleytext_extracted_1.txt","  Content Type                        Narrowed by",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"13","moleytext_extracted_1.txt","  news                                -None-",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"14","moleytext_extracted_1.txt","",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"15","moleytext_extracted_1.txt","",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"16","moleytext_extracted_1.txt","  1. Loose Ends (134)",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"17","moleytext_extracted_1.txt","  Jul 14, 2021       Power Line",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
"18","moleytext_extracted_1.txt","",1,2021-07-14,"Loose Ends (134)","     Power Line","/Users/ninimtchedlishvili/CompText_Jour-main/exercises/assets/moley_extracted/moleytext_extracted_1.txt"
